X,Y,stntype,name,address1,address2,city,state,zipcode,Full_Address,Latitude,Longitude,code,stationnam
-8905342.288,3878787.575,TRAIN,,4565 Gaynor Avenue,North Charleston Transit Center,North Charleston,SC,29405, 4565 Gaynor Avenue North Charleston Transit Center North Charleston SC 29405 ,32.8755257,-79.9979853,CHS,"Charleston, SC"
-9087955.99,4628473.273,TRAIN,,350 MacCorkle Avenue - Southeast,,Charleston,WV,25314, 350 MacCorkle Avenue - Southeast  Charleston WV 25314 ,38.3463227,-81.6384011,CHW,"Charleston, WV"
-13563820.69,4825808.895,TRAIN,,450 Orange Street,,Chico,CA,95928, 450 Orange Street  Chico CA 95928 ,39.7233631,-121.8461422,CIC,"Chico, CA"
-9410623.095,4737431.004,TRAIN,Union Terminal,1301 Western Avenue,,Cincinnati,OH,45203,Union Terminal 1301 Western Avenue  Cincinnati OH 45203 ,39.1099676,-84.537565,CIN,"Cincinnati, OH"
-8057042.596,5368205.886,TRAIN,,Plains Road and Maple Avenue,,Claremont,NH,3743, Plains Road and Maple Avenue  Claremont NH 3743 ,43.3681942,-72.3776683,CLA,"Claremont, NH"
-9021386.441,4028037.166,TRAIN,,850 Pulaski Street,,Columbia,SC,29201, 850 Pulaski Street  Columbia SC 29201 ,33.9942817,-81.0402291,CLB,"Columbia, SC"
-9094376.704,5087235.029,TRAIN,,200 Cleveland Memorial Shoreway,,Cleveland,OH,44114, 200 Cleveland Memorial Shoreway  Cleveland OH 44114 ,41.5056779,-81.6964167,CLE,"Cleveland, OH"
-8886341.744,4553257.935,TRAIN,,307 East Ridgeway Street,,Clifton Forge,VA,24422, 307 East Ridgeway Street  Clifton Forge VA 24422 ,37.8143336,-79.8281423,CLF,"Clifton Forge, VA"
-8682188.197,4646372.121,TRAIN,,111 South Commerce Street,,Culpeper,VA,22701, 111 South Commerce Street  Culpeper VA 22701 ,38.4721927,-77.9934482,CLP,"Culpeper, VA"
-8997154.637,4196736.37,TRAIN,,1914 North Tryon Street,,Charlotte,NC,28206, 1914 North Tryon Street  Charlotte NC 28206 ,35.2412903,-80.8226901,CLT,"Charlotte, NC"
-13250818.33,4057834.187,TRAIN,,30 Lewis Road,,Camarillo,CA,93010, 30 Lewis Road  Camarillo CA 93010 ,34.2158508,-119.034082,CML,"Camarillo, CA"
-13556666.58,5345027.835,TRAIN,,Palmer/Kranz Street and Depot Street,,Chemult,OR,97731, Palmer/Kranz Street and Depot Street  Chemult OR 97731 ,43.2166701,-121.781431,CMO,"Chemult, OR"
-13289975.1,4281971.194,TRAIN,,4011 Grant Drive,,Allensworth,CA,93219, 4011 Grant Drive  Allensworth CA 93219 ,35.8659168,-119.3878058,CNL,"Col Allensworth State Park, CA"
-8145396.128,5405807.156,TRAIN,,266 Main Street,,Castleton,VT,5735, 266 Main Street  Castleton VT 5735 ,43.6134676,-73.1713077,CNV,"Castleton, VT"
-13309031.33,4314186.19,TRAIN,,1099 Otis Avenue,,Corcoran,CA,93212, 1099 Otis Avenue  Corcoran CA 93212 ,36.0983441,-119.5570997,COC,"Corcoran, CA"
-9477005.047,4814629.142,TRAIN,,1012 Eastern Avenue,,Connersville,IN,47331, 1012 Eastern Avenue  Connersville IN 47331 ,39.6444689,-85.1312056,COI,"Connersville, IN"
-8440347.428,4863863.886,TRAIN,,Third Avenue and Fleetwood Street,,Coatesville,PA,19320, Third Avenue and Fleetwood Street  Coatesville PA 19320 ,39.9857503,-75.8209438,COT,"Coatesville, PA"
-8860231.766,4868891.192,TRAIN,,North Water Street & West Peach Street,,Connellsville,PA,15425, North Water Street & West Peach Street  Connellsville PA 15425 ,40.0201778,-79.5928198,COV,"Connellsville, PA"
-13464436.18,4735887.823,TRAIN,,99 Railroad Street,at Church Street,Colfax,CA,95713, 99 Railroad Street at Church Street Colfax CA 95713 ,39.0990124,-120.9532317,COX,"Colfax, CA"
-13305238.1,4082205.785,TRAIN,,475 Linden Avenue,,Carpinteria,CA,93013, 475 Linden Avenue  Carpinteria CA 93013 ,34.3966997,-119.5230908,CPN,"Carpinteria, CA"
-9673573.844,4872441.917,TRAIN,,400 North Green Street,,Crawfordsville,IN,47933, 400 North Green Street  Crawfordsville IN 47933 ,40.044813,-86.8995886,CRF,"Crawfordsville, IN"
-10504288,5020742.06,TRAIN,,116 West Adams Street,,Creston,IA,50801, 116 West Adams Street  Creston IA 50801 ,41.0570373,-94.3624947,CRN,"Creston, IA"
-8224550.639,5040394.03,TRAIN,,4 Veteran's Plaza and 1 Croton Point Avenue,,Croton-on-Hudson,NY,10520, 4 Veteran's Plaza and 1 Croton Point Avenue  Croton-on-Hudson NY 10520 ,41.1898375,-73.8826293,CRT,"Croton-Harmon, NY"
-10006429.12,4761758.56,TRAIN,,128 Alton Road,,Carlinville,IL,62626, 128 Alton Road  Carlinville IL 62626 ,39.2793021,-89.8891999,CRV,"Carlinville, IL"
-9220872.256,4121984.639,TRAIN,,1105 Tiger Boulevard,,Clemson,SC,29631, 1105 Tiger Boulevard  Clemson SC 29631 ,34.6910414,-82.8324641,CSN,"Clemson, SC"
-13687073.9,5896080.194,TRAIN,,210 Railroad Avenue,,Centralia,WA,98531, 210 Railroad Avenue  Centralia WA 98531 ,46.7168749,-122.9560185,CTL,"Centralia, WA"
-8767300.776,4815302.76,TRAIN,Amtrak Station,201 East Harrison Street,,Cumberland,MD,21502,Amtrak Station 201 East Harrison Street  Cumberland MD 21502 ,39.6505246,-78.7579373,CUM,"Cumberland, MD"
-12504696.21,6213721.763,TRAIN,,101 BNSF Industrial Site,,Cut Bank,MT,59427, 101 BNSF Industrial Site  Cut Bank MT 59427 ,48.6303059,-112.3184279,CUT,"Cut Bank, MT"
-8737654.594,4583875.469,TRAIN,,810 West Main Street,,Charlottesville,VA,22903, 810 West Main Street  Charlottesville VA 22903 ,38.0314614,-78.4918209,CVS,"Charlottesville, VA"
-8343639.481,4876362.8,TRAIN,,700 Station Avenue,Station Avenue and Railroad Avenue,Cornwells Heights,PA,19020, 700 Station Avenue Station Avenue and Railroad Avenue Cornwells Heights PA 19020 ,40.0717295,-74.9521065,CWH,"Cornwells Heights, PA"
-13202428.07,4062852.811,TRAIN,,10040 Old Depot Plaza Road,,Chatsworth,CA,91311, 10040 Old Depot Plaza Road  Chatsworth CA 91311 ,34.2530116,-118.5994635,CWT,"Chatsworth, CA"
-8769999.804,4271530.889,TRAIN,,211 North Academy Street,,Cary,NC,27513, 211 North Academy Street  Cary NC 27513 ,35.7879989,-78.7825819,CYN,"Cary, NC"
-10776532.94,3865622.519,TRAIN,Eddie Bernice Johnson Union Sta,400 South Houston Street,,Dallas,TX,75202,Eddie Bernice Johnson Union Sta 400 South Houston Street  Dallas TX 75202 ,32.7762167,-96.8075467,DAL,"Dallas, TX"
-8836983.215,4381292.773,TRAIN,,677 Craghead Street,,Danville,VA,24541, 677 Craghead Street  Danville VA 24541 ,36.584101,-79.3838857,DAN,"Danville, VA"
-13551781.02,4656500.763,TRAIN,,840 Second Street,,Davis,CA,95616, 840 Second Street  Davis CA 95616 ,38.5434317,-121.7377798,DAV,"Davis, CA"
-11133838.14,4544494.716,TRAIN,,Central Avenue & Wyatt Earp Street,,Dodge City,KS,67801, Central Avenue & Wyatt Earp Street  Dodge City KS 67801 ,37.7524206,-100.0170722,DDG,"Dodge City, KS"
-11995160.05,3799038.449,TRAIN,,400 East Railroad Avenue,,Deming,NM,88030, 400 East Railroad Avenue  Deming NM 88030 ,32.2707789,-107.7553239,DEM,"Deming, NM"
-11688539.76,4830108.558,TRAIN,Union Station,1701 Wynkoop Street,,Denver,CO,80202,Union Station 1701 Wynkoop Street  Denver CO 80202 ,39.7531499,-105.0001518,DEN,"Denver, CO"
-9265712.934,5207104.433,TRAIN,,21201 Michigan Avenue,,Dearborn,MI,48124, 21201 Michigan Avenue  Dearborn MI 48124 ,42.3070292,-83.235208,DER,"Dearborn, MI"
-9247577.426,5216280.302,TRAIN,,11 West Baltimore Avenue,,Detroit,MI,48202, 11 West Baltimore Avenue  Detroit MI 48202 ,42.3679493,-83.0721787,DET,"Detroit, MI"
-8919156.903,3038405.189,TRAIN,,1300 West Hillsboro Boulevard,,Deerfield Beach,FL,33442, 1300 West Hillsboro Boulevard  Deerfield Beach FL 33442 ,26.3168532,-80.1221615,DFB,"Deerfield Beach, FL"
-7896560.912,5333204.438,TRAIN,,3 Depot Road,,Durham,NH,3824, 3 Depot Road  Durham NH 3824 ,43.1393631,-70.9361182,DHM,"Durham, NH"
-8835684.438,4085021.543,TRAIN,,100 North Railroad Avenue,,Dillon,SC,29536, 100 North Railroad Avenue  Dillon SC 29536 ,34.4175892,-79.3721718,DIL,"Dillon, SC"
-8915706.778,3055423.53,TRAIN,,345 South Congress Avenue,,Delray Beach,FL,33444, 345 South Congress Avenue  Delray Beach FL 33444 ,26.4551452,-80.092645,DLB,"Delray Beach, FL"
-9056116.661,3377918.704,TRAIN,,2491 Old New York Avenue,,DeLand,FL,32720, 2491 Old New York Avenue  DeLand FL 32720 ,29.0178588,-81.3526387,DLD,"DeLand, FL"
-10669528.67,5912694.029,TRAIN,,116 Pioneer Street,,Detroit Lakes,MN,56501, 116 Pioneer Street  Detroit Lakes MN 56501 ,46.8197994,-95.8459849,DLK,"Detroit Lakes, MN"
-8783809.326,4300257.309,TRAIN,,601 West Main Street,,Durham,NC,27701, 601 West Main Street  Durham NC 27701 ,35.9974328,-78.9070652,DNC,"Durham, NC"
-9032868.489,3938680.76,TRAIN,,200 West Baruch Street,,Denmark,SC,29042, 200 West Baruch Street  Denmark SC 29042 ,33.3261295,-81.1436186,DNK,"Denmark, SC"
-9585615.188,5158126.117,TRAIN,,200 Depot Drive,,Dowagiac,MI,49047, 200 Depot Drive  Dowagiac MI 49047 ,41.9809415,-86.1089375,DOA,"Dowagiac, MI"
-7890143.119,5342154.653,TRAIN,,33 Chestnut Street,,Dover,NH,3820, 33 Chestnut Street  Dover NH 3820 ,43.1981007,-70.878211,DOV,"Dover, NH"
-8428085.137,4866262.136,TRAIN,,159 Viaduct Avenue,,Downingtown,PA,19335, 159 Viaduct Avenue  Downingtown PA 19335 ,40.001993,-75.7103786,DOW,"Downingtown, PA"
-9934180.287,4581168.492,TRAIN,,20 North Chestnut Street,,Du Quoin,IL,62832, 20 North Chestnut Street  Du Quoin IL 62832 ,38.0122293,-89.2401275,DQN,"Du Quoin, IL"
-9348869.627,5298207.444,TRAIN,,200 South Railroad Street,,Durand,MI,48429, 200 South Railroad Street  Durand MI 48429 ,42.909323,-83.9824479,DRD,"Durand, MI"
-11232433.88,3421828.131,TRAIN,,100 North Main Street,,Del Rio,TX,78840, 100 North Main Street  Del Rio TX 78840 ,29.362335,-100.9026281,DRT,"Del Rio, TX"
-13611101,5043533.674,TRAIN,,5750 Sacramento Avenue,,Dunsmuir,CA,96025, 5750 Sacramento Avenue  Dunsmuir CA 96025 ,41.2112398,-122.2705326,DUN,"Dunsmuir, CA"
-11005198.68,6125253.82,TRAIN,,Railroad Avenue and Third Street,,Devils Lake,ND,58301, Railroad Avenue and Third Street  Devils Lake ND 58301 ,48.1103899,-98.8615194,DVL,"Devils Lake, ND"
-9844061.931,5025605.289,TRAIN,,401 South Columbia Street,,Dwight,IL,60420, 401 South Columbia Street  Dwight IL 60420 ,41.0898866,-88.4308091,DWT,"Dwight, IL"
-9742468.288,5088665.961,TRAIN,,913 Sheffield Avenue,,Dyer,IN,46311, 913 Sheffield Avenue  Dyer IN 46311 ,41.5154615,-87.5183201,DYE,"Dyer, IN"
-13623741.92,6075483.727,TRAIN,,211 Railroad Avenue,,Edmonds,WA,98020, 211 Railroad Avenue  Edmonds WA 98020 ,47.8111305,-122.3841639,EDM,"Edmonds, WA"
-9857019.838,4738454.217,TRAIN,,401 West National Avenue,,Effingham,IL,62401, 401 West National Avenue  Effingham IL 62401 ,39.1170159,-88.5472043,EFG,"Effingham, IL"
-9570342.925,5113277.54,TRAIN,,131 Tyler Avenue,,Elkhart,IN,46515, 131 Tyler Avenue  Elkhart IN 46515 ,41.6806485,-85.9717609,EKH,"Elkhart, IN"
-12885291.45,4988253.624,TRAIN,,1300 Water Street (Train 5),1301 Sharps Access Road (Train 6),Elko,NV,89801, 1300 Water Street (Train 5) 1301 Sharps Access Road (Train 6) Elko NV 89801 ,40.8365069,-115.7504958,ELK,"Elko, NV"
-11855041.95,3731501.168,TRAIN,Union Depot,700 West San Francisco Avenue,,El Paso,TX,79901,Union Depot 700 West San Francisco Avenue  El Paso TX 79901 ,31.7573824,-106.4959039,ELP,"El Paso, TX"
-8528435.127,4887332.219,TRAIN,,50 South Wilson Avenue,,Elizabethtown,PA,17022, 50 South Wilson Avenue  Elizabethtown PA 17022 ,40.1467765,-76.6123545,ELT,"Elizabethtown, PA"
-9138961.62,5067076.807,TRAIN,,410 East River Road,,Elyria,OH,44035, 410 East River Road  Elyria OH 44035 ,41.3701676,-82.0964508,ELY,"Elyria, OH"
-13613441.78,4556915.285,TRAIN,,5885 Horton Street,,Emeryville,CA,94608, 5885 Horton Street  Emeryville CA 94608 ,37.8404464,-122.2917273,EMY,"Emeryville, CA"
-13308165.13,5994620.176,TRAIN,,90 Alder Street NW,,Ephrata,WA,98823, 90 Alder Street NW  Ephrata WA 98823 ,47.3208294,-119.5493805,EPH,"Ephrata, WA"
-8914737.274,5179100.205,TRAIN,,125 West 14th Street,,Erie,PA,16501, 125 West 14th Street  Erie PA 16501 ,42.1207438,-80.0823217,ERI,"Erie, PA"
-12647113.71,6152819.51,TRAIN,,290 Izaak Walton Inn Road,,Essex,MT,59916, 290 Izaak Walton Inn Road  Essex MT 59916 ,48.2786623,-113.611914,ESM,"Essex, MT"
-8138598.964,5541972.826,TRAIN,,29 Railroad Avenue,,Essex Junction,VT,5452, 29 Railroad Avenue  Essex Junction VT 5452 ,44.4925812,-73.1101592,ESX,"Essex Junction-Burlington, VT"
-13702580.53,5473964.996,TRAIN,Amtrak Station,433 Willamette Street,,Eugene,OR,97401,Amtrak Station 433 Willamette Street  Eugene OR 97401 ,44.0551854,-123.0923267,EUG,"Eugene, OR"
-13603004.99,6102764.353,TRAIN,,3201 Smith Avenue,,Everett,WA,98201, 3201 Smith Avenue  Everett WA 98201 ,47.975286,-122.1972744,EVR,"Everett, WA"
-8257934.916,4967696.563,TRAIN,Liberty International Airport,3 Brewster Road,,Newark,NJ,7114,Liberty International Airport 3 Brewster Road  Newark NJ 7114 ,40.6895314,-74.1744624,EWR,"Newark, NJ"
-7899086.418,5309084.682,TRAIN,,60 Lincoln Street,,Exeter,NH,3833, 60 Lincoln Street  Exeter NH 3833 ,42.9810332,-70.9586853,EXR,"Exeter, NH"
-8418170.798,4868747.163,TRAIN,,445 Walkertown Road,,Exton,PA,19341, 445 Walkertown Road  Exton PA 19341 ,40.01991,-75.6214796,EXT,"Exton, PA"
-10774099.33,5922670.199,TRAIN,,420 4th Street North,,Fargo,ND,58102, 420 4th Street North  Fargo ND 58102 ,46.8809716,-96.785096,FAR,"Fargo, ND"
-8781414.726,4171357.927,TRAIN,,472 Hay Street,,Fayetteville,NC,28301, 472 Hay Street  Fayetteville NC 28301 ,35.0550969,-78.8847487,FAY,"Fayetteville, NC"
-8622496.662,4621668.84,TRAIN,,200 Lafayette Boulevard,,Fredericksburg,VA,22401, 200 Lafayette Boulevard  Fredericksburg VA 22401 ,38.2960889,-77.4612034,FBG,"Fredericksburg, VA"
